[2026-07-16T17:53:37.798Z] GET https://wecruit.hotjob.cn/SU64819a4f2f9d2433ba8b043a/ → 404 (381ms, 709B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/fY/cc,nc/DqyoN9ve4F95kcuTmzWN4ugdtaY.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/g2/cc,nc/aQpM49nLjBZOa7Hv5tE5F2T06y4.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/g8/cc,nc/Gi5outXoe5_J3R_zgxEjzv9uu7o.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/ga/cc,nc/V-vQwNTizuJEc03TGIkO2Lja8Xg.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/gk/cc,nc/nhGxCCiZWVyh7cmBIQhGY2zde7o.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/gA/cc,nc/2ms6PozTyQH0w_c-77AHT7rZZfI.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/mG/cc,nc/x49L2j72FppcfdX2pwL2vqpnObg.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/mI/cc,nc/SMoyWwBk7AmKoO-r86uLLL9IdgU.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/mO/cc,nc/c3lIa0HUZaz7XLMDar_ubnie80g.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/ns/cc,nc/NuLs3-4BKxHwNxeEOvcShsTFH6Y.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.883Z] GET https://r.bing.com/rs/4/xe/cc,nc/qKG05WI44bkdWuSvR64m-KDTmgY.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rs/4/xg/cc,nc/kuNkCBJ8oJzWc4USu6ZS8EBn5JA.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rs/5T/4D/cc,nc/VZoFV9s35xjYakNRNUAa5xixDmY.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rp/d1CTdFN2PzYdPJfj02hT834p0CA.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rp/RuJsq8eAYqkavNQ_kj9tyr6ZZ4U.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rp/jtpxBePsvUFmTZwzC-m3R5yrkho.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rp/ePcj8EzRbToipkYHrdWvAv_CReY.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rp/pOT5RmYJAe2Oo_7Nsf7nd3HvIjU.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rp/r1W3Us9sqNEEDTV-z9ivBVemdOs.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rp/rcJx5DodqqK-wxOI4K71tEgPVuE.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rb/4Q/cc,nc/J_tUzBdnrg-qe7OZGXNsVKq_YLY.css?bu=Aq4RwRE&or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rs/4J/y/cc,nc/lc44kvJbSFClgrui80iLCiq6wS0.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.884Z] GET https://r.bing.com/rs/4e/fa/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.886Z] GET https://r.bing.com/rs/4e/gm/cc,nc/Md9t-VwqRroJrBwvmyQ1fJJEXqQ.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.886Z] GET https://r.bing.com/rs/4e/er/cir3,cc,nc/5gFAL7Id0yWkqqPO1crOKHL1NzM.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.886Z] GET https://r.bing.com/rs/5Z/u4/cc,nc/ywj4fC5dgfNh4f_rEfTknZT2gZI.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.886Z] GET https://r.bing.com/rs/5Z/Jo/cc,nc/ThBGCIdM7xR9bMgK2_mTcZBKJWo.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.886Z] GET https://r.bing.com/rs/5Z/Jr/cc,nc/qcYlxqUVoG6wDSdBGrbKI_U4rrc.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.886Z] GET https://r.bing.com/rs/5Z/pB/cc,nc/HAb4VzEDmsAqEVOXboBq2LA7rfk.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.886Z] GET https://r.bing.com/rs/5Z/oz/cc,nc/Hw2A9r7gYIeNnkorOsH6LRi6dK0.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/oI/cc,nc/YNj8WC5Nib_Ou0lFcp5pE1SKv8w.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/6l/cir3,cc,nc/xI7APxHEFbZQw9wCH_UiR6jMb4Q.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/4o/cir3,cc,nc/T7Se5boKmcj-z3f329uZQbwymvY.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/3T/cc,nc/cU6FQQNV68haiyFfNvVN_GkM3mo.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/55/cir3,cc,nc/yxbM3Sd2R1N4rBDSqoattkdFsgE.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/8G/cir3,cc,nc/rv4GY1jA997-pLQi7hV3t6BuR4Q.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/4b/cir3,cc,nc/hBK1_2xhnG8R8vJ2Hlzo6KwsYS4.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rp/GwvTDzr-_7Ipq8Y_s09cnrmtIeY.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/iO/cc,nc/4OlqWNHbEtcrJKzIo3cIu60HGhM.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/5Z/jb/cc,nc/dUofHZzWHvvJpQR9jnGCR6HFBJE.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rp/xiLiwvf1fPHGHn1FtpBZ7OjyW7k.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rb/3U/cc,nc/r6KjdhIcY0vRnVja4Yojc7Y1VOI.css?bu=Au4B7wE&or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rp/tH67fvQiF0nalrIJQQCukA-8_u4.br.css → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rs/4H/67/cc,nc/r7Bn93b_dg4yYxtyjUytqakmnOo.css?or=w → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rp/6QcrwwIu0-4_N7YO3otOlZh0iEg.br.js → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rp/C_c5gjtK4f01O4LfPUZBkQROMF4.br.js → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rp/7xJHoaPMPrE8RaLHLYedT4Q20b0.br.js → pending (?ms, ?B)
[2026-07-16T17:53:47.887Z] GET https://r.bing.com/rp/FIrq4n7XJcH-bxJlHvalz0nETAA.br.js → pending (?ms, ?B)
[2026-07-16T17:53:49.346Z] GET https://r.bing.com/rp/EX_mgILPdYtFnI-37m1pZn5YKII.png → 200 (144ms, 8331B)
[2026-07-16T17:53:49.397Z] GET https://r.bing.com/rp/0J47_h3CrL7lOTh2hkBM0lYDGbQ.br.css → pending (?ms, ?B)
[2026-07-16T17:53:49.397Z] GET https://r.bing.com/rb/4H/cir3,cc,nc/mTKsPNrBBsR630ZiwRcmFicEm90.css?bu=CKkCyQOJBPICrQKnBKoEswI&or=w → pending (?ms, ?B)
[2026-07-16T17:53:49.397Z] GET https://r.bing.com/rb/4H/cir3,cc,nc/4sQXg2nHpBvkdXSz16GDSK5EFlU.css?bu=BO8DoASeBLUD&or=w → pending (?ms, ?B)
[2026-07-16T17:53:49.544Z] GET https://r.bing.com/rs/5T/uk/cir3,cc,nc/NA01FcDoQNBG4hrb0M_2gwXhWHc.css?or=w → 200 (97ms, 2376B)
[2026-07-16T17:53:49.561Z] GET https://www.bing.com/fd/ls/l?IG=580B789CDC9B4AC98D23816CB4240AB6&CID=2F26D09C125266AA1308C70413806788&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:1485,%22BC%22:1487,%22SE%22:-1,%22TC%22:-1,%22H%22:1687,%22BP%22:1697,%22CT%22:1697,%22IL%22:1},%22ad%22:[-1,-1,1280,720,1280,1791,0],%22net%22:%22undefined%22}&P=SERP&DA=PUSE01&dl=5 → 200 (118ms, 251B)
[2026-07-16T17:53:49.592Z] GET https://r.bing.com/rs/6r/gm/jnc,nj/tlifxqsNyCzxIJnRwtQKuZToQQw.js?or=w → 200 (85ms, -1761B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/nlZh6bVx1oeyNpoy8k6Auevo0Po.br.js → 200 (134ms, -1268B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/Tzi0lFhZU13XYuDY050dWBV6DfQ.br.js → 200 (139ms, 989B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/IeR-599UBJuseT658p8awKkSjaw.br.js → 200 (130ms, 661B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/-V5wTZcrW0CU8Mo8ihfH5VDKems.br.js → 200 (128ms, 860B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/PUyou40cnMm6LWhwH-89HwXpc44.br.js → 200 (163ms, 674B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/uOsQpE87L0oEd3gFZgQai2o5dqA.br.js → 200 (186ms, -1268B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/En6blPJcqovigCz6Ix1FLnXHt24.br.js → 200 (130ms, 879B)
[2026-07-16T17:53:49.593Z] GET https://r.bing.com/rp/fV8Dpadj6Cv3aj2kbAVj52oi_p8.br.js → 200 (133ms, 1506B)
[2026-07-16T17:53:49.594Z] GET https://r.bing.com/rp/-3EiEm8h52zrMm_lEnal4L6oox8.br.js → 200 (130ms, 1147B)
[2026-07-16T17:53:49.594Z] GET https://r.bing.com/rp/KU3EZ90kSkBTAHtJvIUL3L9fkxE.br.js → 200 (132ms, 1564B)
[2026-07-16T17:53:49.594Z] GET https://r.bing.com/rs/6r/gm/jnc,nj/tlifxqsNyCzxIJnRwtQKuZToQQw.js?or=w → 200 (82ms, -1761B)
[2026-07-16T17:53:49.594Z] GET https://r.bing.com/rp/LLsqdhmv3RjYgfuepDBrVLeWshY.br.js → 200 (129ms, 377B)
[2026-07-16T17:53:49.594Z] GET https://r.bing.com/rp/cfKt7bw67nxWZkkgOIRReDE3rQI.br.js → 200 (138ms, -976B)
[2026-07-16T17:53:49.594Z] GET https://r.bing.com/rp/0Tfs80oEbRYDgF7ylLj21W9MXHU.br.js → 200 (132ms, 617B)
[2026-07-16T17:53:49.595Z] GET https://r.bing.com/rp/6wBFuewIOH06q9w4Bw8z-SKiip4.br.js → 200 (154ms, 731B)
[2026-07-16T17:53:49.595Z] GET https://r.bing.com/rs/6r/gm/jnc,nj/tlifxqsNyCzxIJnRwtQKuZToQQw.js?or=w → 200 (81ms, -1761B)
[2026-07-16T17:53:49.595Z] GET https://r.bing.com/rp/fYa4G4wbz4PjD3tZaW3pycMuo2c.br.js → 200 (160ms, 1314B)
[2026-07-16T17:53:49.595Z] GET https://r.bing.com/rb/4Q/jnc,nj/cKzGnam6-Fytml03VT3ixBZ9tTs.js?bu=A5c0mjSdNA&or=w → 200 (162ms, 2396B)
[2026-07-16T17:53:49.595Z] GET https://r.bing.com/rp/qwce00QJxdHzNxXh5H1mBc8QgBU.br.js → 200 (154ms, 478B)
[2026-07-16T17:53:49.596Z] GET https://r.bing.com/rp/rJAhQDJ7mcmc690pfjItaDhmv18.br.js → 200 (152ms, 2009B)
[2026-07-16T17:53:49.596Z] GET https://r.bing.com/rp/Y-IofXCiouangPfEhpp6Z_AOYcM.br.js → 200 (131ms, 519B)
[2026-07-16T17:53:49.596Z] GET https://r.bing.com/rp/B41j9eGM1DLNjQd-XrgY_sctGDk.br.js → 200 (228ms, 1034B)
[2026-07-16T17:53:49.596Z] GET https://r.bing.com/rp/KV4_sSSBz1cEDJbhKamlGr9ClBw.br.js → 200 (157ms, 671B)
[2026-07-16T17:53:49.596Z] GET https://r.bing.com/rp/TsKGnfqxqwIZ0qgW31yPMZd85P8.br.js → 200 (158ms, 409B)
[2026-07-16T17:53:49.596Z] GET https://r.bing.com/rs/6r/ro/jnc,nj/PqrqelWWRvUSnVWCeG5Pdh9wBEU.js?or=w → 200 (194ms, 1286B)
[2026-07-16T17:53:49.597Z] GET https://r.bing.com/rp/F_NjvIijiBhzfbsy0TKV9gOkTWE.br.js → 200 (226ms, 1067B)
[2026-07-16T17:53:49.597Z] GET https://r.bing.com/rp/mf3B6bT-FFOeYD0GC4z6ZBsLW6M.br.js → 200 (155ms, 332B)
[2026-07-16T17:53:49.597Z] GET https://r.bing.com/rp/NN38hWBGghpmyTXZRzxNyuDQOh0.br.js → 200 (161ms, 1471B)
[2026-07-16T17:53:49.597Z] GET https://r.bing.com/rp/vMDvWdmF46n6kUNBfdmqXrDYoGI.br.js → 200 (159ms, 2879B)
[2026-07-16T17:53:49.597Z] GET https://r.bing.com/rp/HuFcgBA_2XForBQE_eZtVYzLk2M.br.js → 200 (163ms, 1868B)
[2026-07-16T17:53:49.597Z] GET https://r.bing.com/rs/6r/lL/nj/EmG-XMIMCcq8zmcVBBO7jkFERAE.js?or=w → 200 (194ms, -1763B)
[2026-07-16T17:53:49.597Z] GET https://r.bing.com/rp/yt5G3936XbeOUUYvhktH-Zp37Ac.br.js → 200 (161ms, 395B)
[2026-07-16T17:53:49.598Z] GET https://r.bing.com/rp/x1eptL9rX54oAMdUWuiXlU8ClbM.br.js → 200 (232ms, 429B)
[2026-07-16T17:53:49.598Z] GET https://r.bing.com/rp/QhINJ5aAulL1ot_r_8dLH_aIfCk.br.js → 200 (207ms, 538B)
[2026-07-16T17:53:49.598Z] GET https://r.bing.com/rp/cVhztCgE3ZjlZ4NrICPGsTh1WbQ.br.js → 200 (258ms, 1598B)
[2026-07-16T17:53:49.598Z] GET https://r.bing.com/rp/eE_nGKc9g6OVIDRu8fYvjIG9Hm0.br.js → 200 (181ms, 1016B)
[2026-07-16T17:53:49.598Z] GET https://r.bing.com/rp/-vw7138u6_r_Ghx3EGqbgT8a4to.br.js → 200 (227ms, 1648B)
[2026-07-16T17:53:49.598Z] GET https://r.bing.com/rp/Bhp5McU_G4qFOBSyNu2f3cxDjDg.br.js → 200 (261ms, 567B)
[2026-07-16T17:53:49.598Z] GET https://r.bing.com/rs/6r/ue/jnc,nj/a-7oPGogv38O2aNsE2G1jvTy2t8.js?or=w → 200 (187ms, 2858B)
[2026-07-16T17:53:49.599Z] GET https://r.bing.com/rp/5I0Cuul36Grrwnqn9LpjC23cpQ8.br.js → 200 (251ms, 1137B)
[2026-07-16T17:53:49.599Z] GET https://r.bing.com/rp/oU3D75fwOKYAqRTtv6cscmsEla8.br.js → 200 (206ms, 789B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/zjz65wEi2EUfRvlC6mVhOIE4PSM.br.js → 200 (191ms, 2450B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/88F_WFp57AEhbuX2xUzJp0yKLEM.br.js → 200 (191ms, 4220B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/KUj639dFcatHE77xtiTb-KSEsSA.br.js → 200 (205ms, 6509B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/b1xhc3Vl3_FhS-lf4VS_IJJoJF8.br.js → 200 (202ms, 5445B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/ZAnLSuKG096_w5eBelW0S7HOr6g.br.js → 200 (204ms, 1515B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/6ZpK9fh9cD0LYcXzkYpUR9MV_-g.br.js → 200 (259ms, 432B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/KLrSbzDKMog0mCiPcB9iwoEvlE4.br.js → 200 (223ms, 2917B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/ClBkzRTD0QLpIATX2q7eWktfr_k.br.js → 200 (230ms, 1844B)
[2026-07-16T17:53:49.600Z] GET https://r.bing.com/rp/uceaWoHkRefVM5EK1cFT2TcyRm0.br.js → 200 (203ms, 701B)
[2026-07-16T17:53:49.601Z] GET https://r.bing.com/rp/AaMNMcbonPOvZZOl4Lx8-gy2CLQ.br.js → 200 (203ms, 575B)
[2026-07-16T17:53:49.601Z] GET https://r.bing.com/rp/dILjFnlu3tFtlz3D1HusK2wu9g8.br.js → 200 (203ms, 721B)
[2026-07-16T17:53:49.601Z] GET https://r.bing.com/rp/CnuSs8RGmjTsMT91VsxGzD6pvXs.br.js → 200 (210ms, 1261B)
